Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
466,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,BOGOLE,BLOCK,17749,5124.89,4868.66,646.23,13.27326205,Safe
467,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,BUCCHIREDDIPALEM,BLOCK,11738,6194.15,5884.44,1886.93,32.06643283,Safe
468,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,CHEJERLA,BLOCK,30950,4268.04,4054.61,593.83,14.64579824,Safe
469,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,DAGADARTHI,BLOCK,25134,7025.13,6673.88,884.85,13.25840441,Safe
470,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,DUTTALUR,BLOCK,28655,2940.62,2793.56,823.82,29.48996979,Safe
471,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,INDUKURPET,BLOCK,14420,5466.16,5192.85,3677.57,70.81987733,Semi Critical
472,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,JALADANKI,BLOCK,30779,6414.34,6093.63,869.1,14.26243471,Safe
473,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,KALIGIRI,BLOCK,39190.397,4401.81,4181.72,1304.48,31.19481936,Safe
474,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,KALUVOYA,BLOCK,41858,5706.1,5420.8,769.46,14.19458383,Safe
475,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,KAVALI,BLOCK,32066,5742,5454.91,1207.44,22.13492065,Safe
476,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,KODAVALUR,BLOCK,11100,7446.52,7074.22,1576.34,22.28288066,Safe
477,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,KONDAPURAM (NELLORE),BLOCK,35339,4236.28,4024.47,1030.26,25.59989266,Safe
