Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
5293,Telangana,Peddapalle,Peddapalle,Block,22092.20,6560.09,5935.03,2725.63,45.92,Safe
5294,Telangana,Peddapalle,Ramagundam,Block,11321.00,1097.93,991.73,404.53,40.79,Safe
5295,Telangana,Peddapalle,Mutharam_Manthani,Block,12589.00,2636.57,2378.72,1138.31,47.85,Safe
5296,Telangana,Peddapalle,Antargoan,Block,11943.00,2041.73,1841.41,1011.80,54.95,Safe
5297,Telangana,Peddapalle,Palakurthy,Block,10562.97,2552.45,2328.79,837.15,35.95,Safe
5298,Telangana,Peddapalle,Odela,Block,14409.00,5599.77,5043.76,1951.06,38.68,Safe
5299,Telangana,Peddapalle,Dharmaram,Block,19933.90,5934.90,5354.96,1869.54,34.91,Safe
5300,Telangana,Peddapalle,Manthani,Block,22365.53,4313.68,3949.26,2959.56,74.94,Semi Critical
5301,Telangana,Peddapalle,Elgaid,Block,7369.30,2519.43,2272.24,1005.76,44.26,Safe
5302,Telangana,Peddapalle,Julapalle,Block,9161.00,2921.96,2637.33,911.82,34.57,Safe
5303,Telangana,Peddapalle,Kamanpur,Block,5323.64,1799.92,1625.29,965.95,59.43,Safe
5304,Telangana,Peddapalle,Sultanabad,Block,15876.00,5975.85,5383.77,2052.02,38.11,Safe
5305,Telangana,Rajanna Siricilla,Konaraopeta,Block,17249.47,5300.58,4782.19,3293.99,68.88,Safe
5306,Telangana,Rajanna Siricilla,Chandurthi,Block,13591.00,3183.51,2887.47,2125.70,73.62,Semi Critical
5307,Telangana,Rajanna Siricilla,Vemulawada_Rural,Block,11507.44,2968.29,2675.04,1580.81,59.09,Safe
5308,Telangana,Rajanna Siricilla,Veernapalle,Block,8206.00,2792.41,2525.28,1365.09,54.06,Safe
5309,Telangana,Rajanna Siricilla,Mustabad,Block,13612.00,5031.18,4551.93,2315.04,50.86,Safe
5310,Telangana,Rajanna Siricilla,Boinpalle,Block,13352.62,3716.31,3344.81,1862.99,55.70,Safe
5311,Telangana,Rajanna Siricilla,Ellanthakunta,Block,21254.35,5740.85,5235.13,3167.70,60.51,Safe
5312,Telangana,Rajanna Siricilla,Gambhiraopeta,Block,15091.00,4565.52,4141.18,2360.14,56.99,Safe
5313,Telangana,Rajanna Siricilla,Rudrangi,Block,9334.00,2102.73,1912.11,1525.72,79.79,Semi Critical
5314,Telangana,Rajanna Siricilla,Sirsilla,Block,6192.39,1885.81,1697.23,1174.78,69.22,Safe
5315,Telangana,Rajanna Siricilla,Thangallapalle,Block,17911.83,6600.20,5940.39,3699.80,62.28,Safe
5316,Telangana,Rajanna Siricilla,Vemulawada,Block,8516.70,2334.23,2101.85,1378.95,65.61,Safe
5317,Telangana,Rajanna Siricilla,Yellareddypeta,Block,17320.43,4454.31,4012.46,2558.44,63.76,Safe
5318,Telangana,Rangareddy,Chowdergudem,Block,10686.48,1275.16,1158.39,1161.84,100.30,Over Exploited
5319,Telangana,Rangareddy,Abdullapurmet,Block,22876.09,2831.35,2558.34,1216.09,47.53,Safe
5320,Telangana,Rangareddy,Yacharam,Block,30406.49,3744.92,3379.28,2083.46,61.65,Safe
5321,Telangana,Rangareddy,Madgul,Block,27407.76,2260.88,2056.61,1504.77,73.17,Semi Critical
5322,Telangana,Rangareddy,Gandipet,Block,12300.43,1405.61,1266.80,684.29,54.02,Safe
5323,Telangana,Rangareddy,Maheshwaram,Block,25941.60,3781.71,3420.74,2171.32,63.48,Safe
5324,Telangana,Rangareddy,Keshampeta,Block,21519.99,2336.62,2139.50,1754.49,82.00,Semi Critical
5325,Telangana,Rangareddy,Serilingampally,Block,8869.34,1093.19,984.05,1276.38,129.71,Over Exploited
5326,Telangana,Rangareddy,Hayathnagar,Block,2606.23,360.74,325.57,428.28,131.55,Over Exploited
5327,Telangana,Rangareddy,Kothur,Block,7440.96,1223.65,1109.95,827.13,74.52,Semi Critical
5328,Telangana,Rangareddy,Kandukur,Block,30387.87,3702.69,3333.79,2027.91,60.83,Safe
5329,Telangana,Rangareddy,Shabad,Block,22895.52,2811.20,2533.95,1248.45,49.27,Safe
5330,Telangana,Rangareddy,Shankarpalle,Block,20179.91,2145.37,1931.22,1316.57,68.17,Safe
5331,Telangana,Rangareddy,Kadthal,Block,18915.05,1887.79,1704.69,1068.40,62.67,Safe
5332,Telangana,Rangareddy,Amangal,Block,12119.79,1143.56,1029.19,753.38,73.20,Semi Critical
5333,Telangana,Rangareddy,Balapur,Block,9325.79,1084.18,980.33,536.30,54.71,Safe
5334,Telangana,Rangareddy,Chevella,Block,27420.31,2443.53,2203.61,1528.60,69.37,Safe
5335,Telangana,Rangareddy,Farooqnagar,Block,27794.24,3798.43,3442.56,2313.76,67.21,Safe
5336,Telangana,Rangareddy,Ibrahimpatnam,Block,25973.15,3721.32,3349.49,2409.12,71.92,Semi Critical
5337,Telangana,Rangareddy,Kondurg,Block,12718.88,1457.53,1321.55,945.40,71.54,Semi Critical
5338,Telangana,Rangareddy,Manchal,Block,22096.75,3167.72,2850.93,1630.70,57.20,Safe
5339,Telangana,Rangareddy,Moinabad,Block,20960.48,2126.08,1919.04,1292.44,67.35,Safe
5340,Telangana,Rangareddy,Nandigam,Block,10710.73,1773.65,1598.42,696.61,43.58,Safe
5341,Telangana,Rangareddy,Rajendranagar,Block,5422.69,621.33,561.45,512.12,91.21,Critical
5342,Telangana,Rangareddy,Saroornagar,Block,2982.54,302.92,274.39,322.12,117.39,Over Exploited
5343,Telangana,Rangareddy,Shamshabad,Block,19601.77,2540.28,2294.40,1481.39,64.57,Safe
5344,Telangana,Rangareddy,Talakondapalle,Block,23137.02,2680.24,2431.18,1482.29,60.97,Safe
5345,Telangana,Sangareddy,Kangti,Block,18827.32,1944.80,1773.08,209.77,11.83,Safe
5346,Telangana,Sangareddy,Kalher,Block,7597.37,1271.53,1163.38,476.72,40.98,Safe
5347,Telangana,Sangareddy,Naykal,Block,20975.80,1763.12,1593.08,1112.49,69.83,Safe
5348,Telangana,Sangareddy,Pulkal,Block,13481.68,1271.59,1145.47,720.22,62.88,Safe
5349,Telangana,Sangareddy,Andhole,Block,17096.75,1732.90,1560.43,872.00,55.88,Safe
5350,Telangana,Sangareddy,Munipalli,Block,20556.05,1670.60,1532.09,341.57,22.29,Safe
5351,Telangana,Sangareddy,Gummadidala,Block,8306.43,973.57,876.19,591.73,67.53,Safe
5352,Telangana,Sangareddy,Narayankhed,Block,17386.17,1912.45,1729.73,627.62,36.28,Safe
5353,Telangana,Sangareddy,Choutkur,Block,9837.73,963.79,868.11,382.43,44.05,Safe
5354,Telangana,Sangareddy,Sangareddy,Block,8103.29,951.17,859.04,645.90,75.19,Semi Critical
5355,Telangana,Sangareddy,Ameenapur,Block,3465.91,390.10,351.09,264.60,75.37,Semi Critical
5356,Telangana,Sangareddy,Sirgapoor,Block,11437.00,1497.47,1387.26,289.07,20.84,Safe
5357,Telangana,Sangareddy,Zahirabad,Block,23200.90,1864.08,1683.33,1487.77,88.38,Semi Critical
5358,Telangana,Sangareddy,Watpalle,Block,13151.75,1210.79,1098.63,316.48,28.81,Safe
5359,Telangana,Sangareddy,Jinnaram,Block,10355.59,1245.11,1120.55,588.27,52.50,Safe
5360,Telangana,Sangareddy,Nizampet,Block,10480.75,1156.68,1041.65,521.16,50.03,Safe
5361,Telangana,Sangareddy,Patancheruvu,Block,17489.83,1994.19,1794.76,1883.61,104.95,Over Exploited
5362,Telangana,Sangareddy,Jharasangam,Block,18604.31,1512.00,1373.93,871.94,63.46,Safe
5363,Telangana,Sangareddy,Kandi,Block,13211.60,1576.49,1419.75,1012.75,71.33,Semi Critical
5364,Telangana,Sangareddy,Kohir,Block,22142.33,1772.46,1600.49,988.15,61.74,Safe
5365,Telangana,Sangareddy,Sadasivpet,Block,22569.93,2404.26,2200.98,950.84,43.20,Safe
5366,Telangana,Sangareddy,Hathanoora,Block,20457.67,2575.31,2317.76,1420.82,61.30,Safe
5367,Telangana,Sangareddy,Kondapur,Block,14228.53,1586.93,1444.49,886.72,61.39,Safe
5368,Telangana,Sangareddy,Manoor,Block,12691.46,1163.04,1056.01,319.46,30.25,Safe
5369,Telangana,Sangareddy,Mogdampalle,Block,15768.46,1249.98,1128.09,664.09,58.87,Safe
5370,Telangana,Sangareddy,Nagalgidda,Block,12889.45,1218.10,1115.30,217.14,19.47,Safe
5371,Telangana,Sangareddy,Raikode,Block,19735.23,1741.23,1587.46,351.15,22.12,Safe
5372,Telangana,Sangareddy,Ramachandrapuram,Block,7011.52,771.78,694.60,393.43,56.64,Safe
5373,Telangana,Siddipet,Dubbak,Block,16967.69,2968.74,2721.80,2746.19,100.90,Over Exploited
5374,Telangana,Siddipet,Thoguta,Block,15531.93,3045.77,2785.12,1400.91,50.30,Safe
5375,Telangana,Siddipet,Cheriyal,Block,19501.15,3292.47,2986.43,2070.48,69.33,Safe
5376,Telangana,Siddipet,Narayanraopet,Block,5697.84,994.73,905.87,769.81,84.98,Semi Critical
5377,Telangana,Siddipet,Markook,Block,8671.07,1804.92,1636.95,1124.54,68.70,Safe
5378,Telangana,Siddipet,Komaravelly,Block,7456.34,1434.59,1303.01,1026.46,78.78,Semi Critical
5379,Telangana,Siddipet,Doultabad,Block,14332.09,3076.91,2782.93,1626.31,58.44,Safe
5380,Telangana,Siddipet,Siddipet_Rural,Block,10320.59,1840.78,1677.53,1140.59,67.99,Safe
5381,Telangana,Siddipet,Kukunoorpally,Block,9356.29,2024.49,1839.93,1209.91,65.76,Safe
5382,Telangana,Siddipet,Siddipet_Urban,Block,13014.61,2889.75,2628.47,1768.24,67.27,Safe
5383,Telangana,Siddipet,Maddur,Block,9986.90,1618.92,1498.58,1041.14,69.48,Safe
5384,Telangana,Siddipet,Husnabad,Block,10570.95,1970.62,1797.19,1170.69,65.14,Safe
5385,Telangana,Siddipet,Rayapole,Block,9366.90,1955.81,1779.18,1038.97,58.40,Safe
5386,Telangana,Siddipet,Chinnakodur,Block,19937.50,4193.73,3801.13,2376.57,62.52,Safe
5387,Telangana,Siddipet,Kondapak,Block,14651.45,2487.26,2306.45,1667.86,72.31,Semi Critical
5388,Telangana,Siddipet,Mulug,Block,13044.12,2350.94,2162.20,1465.57,67.78,Safe
5389,Telangana,Siddipet,Bejjanki,Block,14535.55,3580.87,3222.74,1408.78,43.71,Safe
5390,Telangana,Siddipet,Wargal,Block,12504.96,2263.89,2074.42,1655.19,79.79,Semi Critical
5391,Telangana,Siddipet,Akbarpet-Bhoompally,Block,10248.27,2127.82,1927.60,1592.49,82.62,Semi Critical
5392,Telangana,Siddipet,Nanganur,Block,16800.07,3794.77,3455.67,2070.02,59.90,Safe
5393,Telangana,Siddipet,Jagadevpur,Block,15279.26,3060.07,2802.20,1864.65,66.54,Safe
5394,Telangana,Siddipet,Mirdoddi,Block,9648.59,1891.88,1725.19,1517.17,87.94,Semi Critical
5395,Telangana,Siddipet,Koheda,Block,18996.19,3220.44,2919.51,2057.69,70.48,Semi Critical
5396,Telangana,Siddipet,Akkannapeta,Block,17126.16,3073.46,2830.31,1904.73,67.30,Safe
5397,Telangana,Siddipet,Gajwel,Block,20150.05,4427.94,4018.64,2367.05,58.90,Safe
5398,Telangana,Siddipet,Dhoolmitta,Block,7030.86,1102.29,1028.28,734.56,71.44,Semi Critical
5399,Telangana,Suryapet,Kodad,Block,16650.00,2875.79,2588.19,950.35,36.72,Safe
5400,Telangana,Suryapet,Neredcherla,Block,12995.00,1824.46,1641.99,361.16,22.00,Safe
5401,Telangana,Suryapet,Thirumalagiri,Block,13232.00,1293.09,1167.24,730.15,62.55,Safe
5402,Telangana,Suryapet,Garidepalle,Block,20301.00,5295.49,4765.94,1176.78,24.69,Safe
5403,Telangana,Suryapet,Ananthagiri,Block,11073.00,2480.11,2232.11,679.72,30.45,Safe
5404,Telangana,Suryapet,Atmakur_S,Block,20910.00,4095.28,3745.78,1825.24,48.73,Safe
5405,Telangana,Suryapet,Chilkur,Block,11897.00,2355.25,2119.72,524.13,24.73,Safe
5406,Telangana,Suryapet,Chinthala palem,Block,20659.00,2851.63,2589.94,561.65,21.69,Safe
5407,Telangana,Suryapet,Chivvemla,Block,15163.00,2478.09,2230.29,952.75,42.72,Safe
5408,Telangana,Suryapet,Huzur nagar,Block,12892.00,3485.02,3136.86,979.14,31.21,Safe
5409,Telangana,Suryapet,Jajireddigudem,Block,13918.00,2017.13,1846.83,724.11,39.21,Safe
5410,Telangana,Suryapet,Maddirala,Block,13892.00,1819.94,1721.95,1133.44,65.82,Safe
5411,Telangana,Suryapet,Mattampalle,Block,21024.00,2795.00,2547.20,1256.48,49.33,Safe
5412,Telangana,Suryapet,Mellachervu,Block,15521.00,2364.26,2136.87,640.08,29.95,Safe
5413,Telangana,Suryapet,Mothey,Block,18652.00,3446.92,3127.79,1492.06,47.70,Safe
5414,Telangana,Suryapet,Munagala,Block,16241.00,1998.73,1798.87,931.73,51.80,Safe
5415,Telangana,Suryapet,Nadigudem,Block,11745.00,2092.62,1887.52,636.14,33.70,Safe
5416,Telangana,Suryapet,Nagaram,Block,13401.00,1346.07,1215.59,614.86,50.58,Safe
5417,Telangana,Suryapet,Noothankal,Block,11411.00,1985.11,1839.75,986.45,53.62,Safe
5418,Telangana,Suryapet,Palakeedu,Block,14407.00,2307.42,2076.66,432.02,20.80,Safe
5419,Telangana,Suryapet,Penpahad,Block,19538.00,3012.92,2711.63,1205.57,44.46,Safe
5420,Telangana,Suryapet,Suryapet,Block,21445.00,7009.58,6308.59,1373.82,21.78,Safe
5421,Telangana,Suryapet,Thungathurthi,Block,13783.00,1431.49,1294.60,728.24,56.25,Safe
5422,Telangana,Vikarabad,Tandur,Block,23370.30,2207.65,1986.89,887.02,44.64,Safe
5423,Telangana,Vikarabad,Doulatabad,Block,19338.00,3735.54,3362.00,1503.43,44.72,Safe
5424,Telangana,Vikarabad,Marpalle,Block,22635.00,7425.91,6683.97,1417.46,21.21,Safe
5425,Telangana,Vikarabad,Peddemul,Block,24427.90,2180.88,1962.79,1029.92,52.47,Safe
5426,Telangana,Vikarabad,Bomraspeta,Block,13730.70,1265.47,1138.88,557.18,48.92,Safe
5427,Telangana,Vikarabad,Dudyal,Block,11233.15,1978.09,1780.24,677.91,38.08,Safe
5428,Telangana,Vikarabad,Dharur,Block,20433.50,2841.26,2557.13,853.19,33.37,Safe
5429,Telangana,Vikarabad,Kulkacharla,Block,16099.02,2066.73,1860.04,786.71,42.30,Safe
5430,Telangana,Vikarabad,Mominpet,Block,18537.48,5481.73,4933.84,1333.51,27.03,Safe
5431,Telangana,Vikarabad,Chowdapur,Block,10933.08,1496.06,1346.44,665.76,49.45,Safe
5432,Telangana,Vikarabad,Bantwaram,Block,9422.80,1145.45,1030.90,497.85,48.29,Safe
5433,Telangana,Vikarabad,Yelal,Block,22453.00,3214.59,2893.13,1634.22,56.49,Safe
5434,Telangana,Vikarabad,Doma,Block,17222.12,2698.89,2428.98,1387.03,57.10,Safe
5435,Telangana,Vikarabad,Kodangal,Block,22274.00,2312.31,2081.05,1305.43,62.73,Safe
5436,Telangana,Vikarabad,Kotepally,Block,11175.10,1424.53,1282.09,549.55,42.86,Safe
5437,Telangana,Vikarabad,Basheerabad,Block,20412.00,2078.57,1870.72,857.55,45.84,Safe
5438,Telangana,Vikarabad,Pudur,Block,20139.00,1675.76,1508.24,879.44,58.31,Safe
5439,Telangana,Vikarabad,Vikarabad,Block,24800.10,2751.67,2476.67,1042.83,42.11,Safe
5440,Telangana,Vikarabad,Nawabpet,Block,16384.98,1802.63,1622.49,774.16,47.71,Safe
5441,Telangana,Vikarabad,Pargi,Block,22275.00,3195.86,2876.25,1305.50,45.39,Safe
5442,Telangana,Wanaparthy,Gopalpeta,Block,12258.00,4956.45,4460.78,2035.83,45.64,Safe
5443,Telangana,Wanaparthy,Veepangandla,Block,13988.60,3189.87,2873.89,2947.54,102.56,Over Exploited
5444,Telangana,Wanaparthy,Wanaparthy,Block,18015.00,5594.00,5034.58,2147.88,42.66,Safe
5445,Telangana,Wanaparthy,Revelly,Block,7602.00,1643.40,1479.06,539.28,36.46,Safe
5446,Telangana,Wanaparthy,Amarchinta,Block,9907.00,4120.34,3710.06,1286.29,34.67,Safe
5447,Telangana,Wanaparthy,Chinnambavi,Block,21816.20,4172.68,3764.86,1469.60,39.03,Safe
5448,Telangana,Wanaparthy,Pangal,Block,19368.00,5484.38,4935.96,2501.38,50.68,Safe
5449,Telangana,Wanaparthy,Atmakur,Block,12278.00,6000.22,5402.53,723.89,13.40,Safe
5450,Telangana,Wanaparthy,Ghanpur,Block,15517.00,4419.51,3977.54,1982.30,49.84,Safe
5451,Telangana,Wanaparthy,Kothakota,Block,17293.70,4279.21,3851.27,1429.02,37.11,Safe
5452,Telangana,Wanaparthy,Madanapur,Block,10909.00,4074.23,3666.74,820.41,22.37,Safe
5453,Telangana,Wanaparthy,Pebbair,Block,19003.70,5712.35,5144.56,1715.11,33.34,Safe
5454,Telangana,Wanaparthy,Peddamandadi,Block,17547.00,5606.37,5045.71,1832.36,36.32,Safe
5455,Telangana,Wanaparthy,Srirangapur,Block,7842.00,3177.78,2861.63,992.50,34.68,Safe
5456,Telangana,Wanaparthy,Yedula,Block,8868.76,1780.72,1602.65,1022.32,63.79,Safe
5457,Telangana,Warangal,Narsampet,Block,13018.30,4697.46,4231.91,2402.56,56.77,Safe
5458,Telangana,Warangal,Geesugonda,Block,12889.09,3148.74,2863.18,1698.81,59.33,Safe
5459,Telangana,Warangal,Raiparthy,Block,21127.66,6923.29,6258.00,4161.44,66.50,Safe
5460,Telangana,Warangal,Nallabelly,Block,14021.01,3673.11,3327.33,1891.06,56.83,Safe
5461,Telangana,Warangal,Duggondi,Block,11341.63,3578.63,3242.61,1707.35,52.65,Safe
5462,Telangana,Warangal,Chennaraopeta,Block,12365.20,4071.65,3670.47,1759.19,47.93,Safe
5463,Telangana,Warangal,Warangal,Block,3672.00,677.78,625.82,235.22,37.59,Safe
5464,Telangana,Warangal,Nekkonda,Block,16880.37,3900.12,3524.14,2395.24,67.97,Safe
5465,Telangana,Warangal,Khanapur,Block,11544.02,4993.99,4497.23,1088.77,24.21,Safe
5466,Telangana,Warangal,Khilla_Warangal,Block,7945.00,1006.19,912.14,548.85,60.17,Safe
5467,Telangana,Warangal,Wardhannapet,Block,15487.99,5167.96,4686.00,2760.59,58.91,Safe
5468,Telangana,Warangal,Parvathagiri,Block,15657.00,5151.75,4678.09,2682.33,57.34,Safe
5469,Telangana,Warangal,Sangem,Block,15388.17,3757.98,3393.61,1903.30,56.08,Safe
5470,Telangana,Yadadri Bhuvanagiri,Pochampalle,Block,19369.08,11723.71,10551.35,2912.76,27.61,Safe
5471,Telangana,Yadadri Bhuvanagiri,Gundala,Block,17337.56,2680.72,2421.36,1715.84,70.86,Semi Critical
5472,Telangana,Yadadri Bhuvanagiri,Yadagirigutta,Block,19180.90,2939.73,2684.97,1460.22,54.38,Safe
5473,Telangana,Yadadri Bhuvanagiri,Mothkur,Block,14522.56,3378.17,3055.88,2365.20,77.40,Semi Critical
5474,Telangana,Yadadri Bhuvanagiri,Choutuppal,Block,26883.70,7719.16,6948.13,7074.47,101.82,Over Exploited
5475,Telangana,Yadadri Bhuvanagiri,Valigonda,Block,30994.52,8951.76,8096.86,3698.40,45.68,Safe
5476,Telangana,Yadadri Bhuvanagiri,Bhongiri,Block,29589.02,6073.36,5474.78,3577.38,65.34,Safe
5477,Telangana,Yadadri Bhuvanagiri,Turkapalle_M,Block,19447.19,3127.87,2837.02,2103.00,74.13,Semi Critical
5478,Telangana,Yadadri Bhuvanagiri,Narayanapur,Block,25772.83,3135.19,2829.38,2881.69,101.85,Over Exploited
5479,Telangana,Yadadri Bhuvanagiri,Atmakur_M,Block,16144.95,3215.87,2906.48,2959.15,101.81,Over Exploited
5480,Telangana,Yadadri Bhuvanagiri,Bibinagar,Block,16822.00,6011.94,5414.40,2264.05,41.82,Safe
5481,Telangana,Yadadri Bhuvanagiri,Addagudur,Block,14528.23,2891.93,2652.58,1975.43,74.47,Semi Critical
5482,Telangana,Yadadri Bhuvanagiri,Alair,Block,18544.33,3540.61,3229.66,3246.59,100.52,Over Exploited
5483,Telangana,Yadadri Bhuvanagiri,Bommalaramaram,Block,16100.31,3458.46,3117.58,2207.36,70.80,Semi Critical
5484,Telangana,Yadadri Bhuvanagiri,Mootakondur,Block,16458.58,2514.34,2287.08,2124.24,92.88,Critical
5485,Telangana,Yadadri Bhuvanagiri,Rajapet,Block,18652.38,3092.90,2795.65,2848.46,101.89,Over Exploited
5486,Telangana,Yadadri Bhuvanagiri,Ramannapeta,Block,22933.85,6922.13,6229.93,2243.84,36.02,Safe
5487,TRIPURA,DHALAI,AMBASA,BLOCK,13279.00,3064.57,2616.58,116.50,4.45,Safe
5488,TRIPURA,DHALAI,CHAWMANU,BLOCK,16183.00,3777.11,2929.22,86.45,2.95,Safe
5489,TRIPURA,DHALAI,DUMBURNAGAR,BLOCK,12307.00,2331.42,1792.50,96.78,5.40,Safe
5490,TRIPURA,DHALAI,DURGACHOWMOHANI,BLOCK,5902.00,1885.14,1316.89,177.93,13.51,Safe
5491,TRIPURA,DHALAI,GANGANAGAR,BLOCK,4538.00,836.88,643.17,81.97,12.74,Safe
5492,TRIPURA,DHALAI,MANU,BLOCK,26331.00,6258.00,4747.37,235.65,4.96,Safe
5493,TRIPURA,DHALAI,RAISHYABARI,BLOCK,7908.00,1443.13,1269.71,59.12,4.66,Safe
5494,TRIPURA,DHALAI,SALEMA,BLOCK,13133.00,3115.72,2691.01,237.18,8.81,Safe
5495,TRIPURA,GOMATI,AMARPUR,BLOCK,26791.00,5698.83,4571.42,159.40,3.49,Safe
5496,TRIPURA,GOMATI,KAKRABAN,BLOCK,7378.00,2271.02,2025.93,198.36,9.79,Safe
5497,TRIPURA,GOMATI,KARBOOK,BLOCK,15385.00,3052.97,2707.33,67.26,2.48,Safe
5498,TRIPURA,GOMATI,KILLA,BLOCK,16297.00,3187.00,2445.68,166.27,6.80,Safe
5499,TRIPURA,GOMATI,MATABARI,BLOCK,17858.00,4423.49,3275.04,250.24,7.64,Safe
5500,TRIPURA,GOMATI,OMPI,BLOCK,15466.00,3115.38,2769.88,98.70,3.56,Safe
5501,TRIPURA,GOMATI,SILACHHARI,BLOCK,4475.00,844.06,742.99,44.76,6.02,Safe
5502,TRIPURA,GOMATI,TEPANIA,BLOCK,6178.00,1278.97,1065.34,83.74,7.86,Safe
5503,TRIPURA,KHOWAI,KALYANPUR,BLOCK,7253.00,2128.71,1915.84,228.65,11.93,Safe
5504,TRIPURA,KHOWAI,KHOWAI,BLOCK,9985.00,3021.70,2508.06,206.70,8.24,Safe
5505,TRIPURA,KHOWAI,MUNGIAKAMI,BLOCK,11183.00,2056.84,1847.16,80.97,4.38,Safe
5506,TRIPURA,KHOWAI,PADMABIL,BLOCK,6529.00,1426.94,1345.85,91.71,6.81,Safe
5507,TRIPURA,KHOWAI,TELIAMURA,BLOCK,6149.00,1746.26,1535.23,293.25,19.10,Safe
5508,TRIPURA,KHOWAI,TULASIKHAR,BLOCK,8461.00,1857.26,1735.18,111.09,6.40,Safe
5509,TRIPURA,NORTH TRIPURA,DAMCHHERA,BLOCK,1410.00,382.97,319.86,69.15,21.62,Safe
5510,TRIPURA,NORTH TRIPURA,DASDA,BLOCK,10399.00,2680.87,1612.15,134.01,8.31,Safe
5511,TRIPURA,NORTH TRIPURA,JAMPUI HILL,BLOCK,4455.00,1067.85,894.69,28.82,3.22,Safe
5512,TRIPURA,NORTH TRIPURA,JUBARAJNAGAR,BLOCK,8751.00,2100.99,1602.07,170.37,10.63,Safe
5513,TRIPURA,NORTH TRIPURA,KADAMTALA,BLOCK,9498.00,2538.02,1729.45,248.08,14.34,Safe
5514,TRIPURA,NORTH TRIPURA,KALACHERRA,BLOCK,7644.00,1950.38,1343.48,175.03,13.03,Safe
5515,TRIPURA,NORTH TRIPURA,LALJURI,BLOCK,7144.00,1604.30,1249.16,112.56,9.01,Safe
5516,TRIPURA,NORTH TRIPURA,PANISAGAR,BLOCK,5081.00,1396.38,1173.82,111.34,9.49,Safe
5517,TRIPURA,SEPAHIJALA,BISHALGARH,BLOCK,13732.00,3378.30,2747.17,423.95,15.43,Safe
5518,TRIPURA,SEPAHIJALA,BOXANAGAR,BLOCK,11052.00,2103.01,1497.35,196.79,13.14,Safe
5519,TRIPURA,SEPAHIJALA,CHARILAM,BLOCK,11473.00,2262.65,1757.73,267.99,15.25,Safe
5520,TRIPURA,SEPAHIJALA,JAMPUIJALA,BLOCK,25577.00,4472.26,3402.03,152.21,4.47,Safe
5521,TRIPURA,SEPAHIJALA,KANTHALIA,BLOCK,11830.00,2680.75,2315.08,455.20,19.66,Safe
5522,TRIPURA,SEPAHIJALA,MOHANBHOG,BLOCK,6123.00,1863.64,1666.18,110.55,6.63,Safe
5523,TRIPURA,SEPAHIJALA,NALCHAR,BLOCK,7383.00,2130.82,1701.02,184.72,10.86,Safe
5524,TRIPURA,SOUTH TRIPURA,BAGAFA,BLOCK,19010.00,5023.56,3674.72,208.45,5.67,Safe
5525,TRIPURA,SOUTH TRIPURA,BHARAT CH NAGAR,BLOCK,8527.00,2390.52,1647.66,103.43,6.28,Safe
5526,TRIPURA,SOUTH TRIPURA,HRISHYAMUKH,BLOCK,12010.00,3308.59,2449.66,181.87,7.42,Safe
5527,TRIPURA,SOUTH TRIPURA,JOLAIBARI,BLOCK,12660.00,3700.78,3135.02,149.93,4.78,Safe
5528,TRIPURA,SOUTH TRIPURA,POANGBARI,BLOCK,4265.00,983.47,780.34,65.49,8.39,Safe
5529,TRIPURA,SOUTH TRIPURA,RAJNAGAR,BLOCK,16182.00,3186.82,2687.86,270.15,10.05,Safe
5530,TRIPURA,SOUTH TRIPURA,RUPAICHARI,BLOCK,8360.00,2539.34,2161.34,121.99,5.64,Safe
5531,TRIPURA,SOUTH TRIPURA,SATCHAND,BLOCK,17089.00,4599.58,3964.69,155.65,3.93,Safe
5532,TRIPURA,UNAKOTI,CHANDIPUR,BLOCK,8226.00,2298.07,1950.84,156.46,8.02,Safe
5533,TRIPURA,UNAKOTI,GOURNAGAR,BLOCK,8764.00,2344.87,1969.99,177.38,9.00,Safe
5534,TRIPURA,UNAKOTI,KUMARGHAT,BLOCK,17522.00,3928.11,3394.85,252.13,7.43,Safe
5535,TRIPURA,UNAKOTI,PENCHARTHAL,BLOCK,8366.00,1877.13,1674.07,105.47,6.30,Safe
5536,TRIPURA,WEST TRIPURA,AMC,BLOCK,7650.00,2013.75,1913.07,1091.21,57.04,Safe
5537,TRIPURA,WEST TRIPURA,BAMUTIA,BLOCK,5471.00,1057.78,849.30,163.13,19.21,Safe
5538,TRIPURA,WEST TRIPURA,BELBARI,BLOCK,6911.00,1681.79,1337.78,201.89,15.09,Safe
5539,TRIPURA,WEST TRIPURA,DUKLI,BLOCK,9948.00,2875.81,2519.64,479.61,19.03,Safe
5540,TRIPURA,WEST TRIPURA,HEZAMARA,BLOCK,10866.00,2021.92,1784.52,101.34,5.68,Safe
5541,TRIPURA,WEST TRIPURA,JIRANIA,BLOCK,4677.00,1237.34,1024.11,328.75,32.10,Safe
5542,TRIPURA,WEST TRIPURA,LEFUNGA,BLOCK,3526.00,789.86,692.35,128.47,18.56,Safe
5543,TRIPURA,WEST TRIPURA,MANDWI,BLOCK,11823.00,2250.26,1860.21,104.75,5.63,Safe
5544,TRIPURA,WEST TRIPURA,MOHANPUR,BLOCK,10886.00,2364.16,1954.88,358.81,18.35,Safe
